```
CHAPTER|COVER|Cover & Title Pages|start=1|end=4
SECTION||Given Centre and Radius|start=19|end=19
SECTION||Given General Equation|start=19|end=19
SECTION||Tangent at a Point|start=19|end=19

CHAPTER|Algebra|Algebra|start=20|end=20
SECTION||Roots of a Quadratic|start=20|end=20
SECTION||Inverse of a Matrix|start=20|end=20
SECTION||De Moivre’s Theorem|start=20|end=20
SECTION||Binomial Theorem|start=20|end=20

CHAPTER|Indices and Logarithms|Indices and Logarithms|start=21|end=21
SECTION||Product Rule (Indices)|start=21|end=21
SECTION||Quotient Rule (Indices)|start=21|end=21
SECTION||Power Rule (Indices)|start=21|end=21
SECTION||Negative Indices|start=21|end=21
SECTION||Zero Index|start=21|end=21
SECTION||Fractional Indices|start=21|end=21
SECTION||Definition of a Logarithm|start=21|end=21
SECTION||Logarithm of a Product|start=21|end=21
SECTION||Logarithm of a Quotient|start=21|end=21
SECTION||Logarithm of a Power|start=21|end=21
SECTION||Logarithm of One|start=21|end=21
SECTION||Logarithm of a Unit Fraction|start=21|end=21
SECTION||Power of a Logarithm|start=21|end=21
SECTION||Change of Base Formula|start=21|end=21

CHAPTER|Sequences and Series|Sequences and Series|start=22|end=22
SECTION||Arithmetic Sequences|start=22|end=22
SECTION||Geometric Sequences|start=22|end=22
SECTION||Summation Formulae|start=22|end=22

CHAPTER|Sets and Logic|Sets and Logic|start=23|end=23
SECTION||Set Symbols|start=23|end=23
SECTION||Number Sets|start=23|end=23
SECTION||Logic Symbols|start=23|end=23
SECTION||De Morgan’s Laws|start=23|end=23
SECTION||Negation and Quantifiers|start=23|end=23

CHAPTER|Calculus|Calculus|start=25|end=27
SECTION||Product Rule|start=25|end=25
SECTION||Quotient Rule|start=25|end=25
SECTION||Chain Rule|start=25|end=25
SECTION||Table of Integrals|start=26|end=26
SECTION||Integration by Parts|start=26|end=26
SECTION||Newton–Raphson Iteration|start=27|end=27
SECTION||Taylor Series (Centre a)|start=27|end=27
SECTION||Maclaurin Series|start=27|end=27
SECTION||Volume of Solid of Revolution|start=27|end=27

CHAPTER|Economics|Economics|start=28|end=29
SECTION||Elasticity|start=28|end=28
SECTION||GDP and Multipliers|start=29|end=29

CHAPTER|Financial Mathematics|Financial Mathematics|start=30|end=32
SECTION||Compound Interest|start=30|end=30
SECTION||Present Value|start=30|end=30
SECTION||Depreciation (Reducing Balance)|start=31|end=31
SECTION||Depreciation (Straight Line)|start=31|end=31
SECTION||Loans and Mortgages|start=31|end=31
SECTION||Annual Percentage Rate|start=31|end=31
SECTION||Conversion of Compounding Periods|start=32|end=32
SECTION||Continuous Compounding|start=32|end=32
SECTION||Euler’s Number e|start=32|end=32

CHAPTER|Statistics and Probability|Statistics and Probability|start=33|end=43
SECTION||Mean from a List|start=33|end=33
SECTION||Mean from a Frequency Table|start=33|end=33
SECTION||Standard Deviation (List)|start=35|end=35
SECTION||Standard Deviation (Frequency Table)|start=35|end=35
SECTION||Probability Laws|start=37|end=43

CHAPTER|Units of Measurement|Units of Measurement|start=44|end=45
SECTION||SI Base Units|start=44|end=44
SECTION||Derived Units|start=44|end=44
SECTION||SI Prefixes|start=45|end=45

CHAPTER|Fundamental Physical Constants|Fundamental Physical Constants|start=46|end=47

SECTION||Permeability of Free Space|start=46|end=46
SECTION||Permittivity of Free Space|start=46|end=46
SECTION||Planck Constant|start=46|end=46
SECTION||Reduced Planck Constant|start=46|end=46
SECTION||Proton Mass|start=46|end=46
SECTION||Proton–Electron Mass Ratio|start=46|end=46
SECTION||Speed of Light in Vacuum|start=46|end=46
SECTION||Unified Atomic Mass Unit|start=46|end=46
SECTION||Universal Gas Constant|start=46|end=46

SECTION||Electron Rest Mass|start=47|end=47
SECTION||Neutron Rest Mass|start=47|end=47
SECTION||Elementary Charge|start=47|end=47
SECTION||Avogadro Constant|start=47|end=47
SECTION||Boltzmann Constant|start=47|end=47
SECTION||Acceleration Due to Gravity|start=47|end=47
SECTION||Stefan–Boltzmann Constant|start=47|end=47


CHAPTER|Particle Physics|Particle Physics|start=48|end=49
SECTION||Quark Symbols and Charges|start=48|end=48
SECTION||Leptons|start=48|end=48
SECTION||The Six Quark Flavours|start=49|end=49
SECTION||Conservation Laws|start=49|end=49
SECTION||Mass–Energy Equivalence|start=49|end=49

CHAPTER|Mechanics|Mechanics|start=50|end=57
SECTION||Equations of Motion|start=50|end=50
SECTION||Newton’s Laws of Motion|start=50|end=50
SECTION||Momentum|start=51|end=51
SECTION||Impulse|start=51|end=51
SECTION||Work|start=51|end=51
SECTION||Kinetic Energy|start=52|end=52
SECTION||Potential Energy|start=52|end=52
SECTION||Power|start=52|end=52
SECTION||Pressure|start=53|end=53
SECTION||Density|start=53|end=53
SECTION||Hooke’s Law|start=53|end=53
SECTION||Circular Motion|start=54|end=54
SECTION||Gravitational Force|start=55|end=55
SECTION||Simple Harmonic Motion|start=56|end=56
SECTION||Projectile Motion|start=57|end=57

CHAPTER|Electricity|Electricity|start=61|end=62
SECTION||Coulomb’s Law|start=61|end=61
SECTION||Electric Field Strength|start=61|end=61
SECTION||Potential Difference|start=61|end=61
SECTION||Resistance|start=61|end=61
SECTION||Resistivity|start=61|end=61
SECTION||Resistors in Series|start=61|end=61
SECTION||Resistors in Parallel|start=61|end=61
SECTION||Wheatstone Bridge|start=61|end=61
SECTION||Joule’s Law|start=61|end=61
SECTION||Instantaneous Power|start=61|end=61
SECTION||Force on a Current|start=61|end=61
SECTION||Force on a Charge|start=61|end=61
SECTION||Alternating Voltage and Current|start=62|end=62
SECTION||Capacitance|start=62|end=62
SECTION||Parallel Plate Capacitor|start=62|end=62
SECTION||Energy Stored in a Capacitor|start=62|end=62
SECTION||Magnetic Flux|start=62|end=62
SECTION||Transformer|start=62|end=62

CHAPTER|Radioactivity|Radioactivity|start=63|end=63
SECTION||Activity|start=63|end=63
SECTION||Law of Radioactive Decay|start=63|end=63
SECTION||Half-Life|start=63|end=63
SECTION||Mass–Energy Equivalence|start=63|end=63

CHAPTER|Chemistry|Chemistry|start=64|end=64
SECTION||Standard Temperature|start=64|end=64
SECTION||Standard Pressure|start=64|end=64
SECTION||Triple Point of Water|start=64|end=64
SECTION||Molar Volume|start=64|end=64
SECTION||pH|start=64|end=64
SECTION||Ionic Product of Water|start=64|end=64
SECTION||Mole Definition|start=64|end=64

CHAPTER|SU p65|Symbols & Units p65|start=65|end=65
SECTION||Acceleration|start=65|end=65
SECTION||Activity|start=65|end=65
SECTION||Amount of Substance|start=65|end=65
SECTION||Angular Acceleration|start=65|end=65
SECTION||Angular Displacement|start=65|end=65
SECTION||Angular Velocity|start=65|end=65
SECTION||Area|start=65|end=65
SECTION||Avogadro Constant|start=65|end=65

CHAPTER|SU p66|Symbols & Units p66|start=66|end=66
SECTION||Capacitance|start=66|end=66
SECTION||Charge|start=66|end=66
SECTION||Coefficient of Friction|start=66|end=66
SECTION||Critical Angle|start=66|end=66
SECTION||Current|start=66|end=66
SECTION||Density|start=66|end=66
SECTION||Displacement|start=66|end=66
SECTION||Distance|start=66|end=66

CHAPTER|SU p67|Symbols & Units p67|start=67|end=67
SECTION||Electric Field Strength|start=67|end=67
SECTION||Electric Potential Difference|start=67|end=67
SECTION||Electric Power|start=67|end=67
SECTION||Electric Resistance|start=67|end=67
SECTION||Electric Resistivity|start=67|end=67
SECTION||Energy|start=67|end=67
SECTION||Force|start=67|end=67
SECTION||Frequency|start=67|end=67

CHAPTER|SU p68|Symbols & Units p68|start=68|end=68
SECTION||Gravitational Constant|start=68|end=68
SECTION||Gravitational Field Strength|start=68|end=68
SECTION||Impulse|start=68|end=68
SECTION||Intensity|start=68|end=68
SECTION||Kinetic Energy|start=68|end=68
SECTION||Length|start=68|end=68
SECTION||Magnetic Flux|start=68|end=68
SECTION||Mass|start=68|end=68

CHAPTER|SU p69|Symbols & Units p69|start=69|end=69
SECTION||Momentum|start=69|end=69
SECTION||Period|start=69|end=69
SECTION||Planck Constant|start=69|end=69
SECTION||Potential Energy|start=69|end=69
SECTION||Power|start=69|end=69
SECTION||Pressure|start=69|end=69
SECTION||Resistance|start=69|end=69
SECTION||Resistivity|start=69|end=69

CHAPTER|SU p70|Symbols & Units p70|start=70|end=70
SECTION||Specific Heat Capacity|start=70|end=70
SECTION||Speed|start=70|end=70
SECTION||Spring Constant|start=70|end=70
SECTION||Temperature|start=70|end=70
SECTION||Time|start=70|end=70
SECTION||Velocity|start=70|end=70
SECTION||Volume|start=70|end=70
SECTION||Work|start=70|end=70

CHAPTER|SU p71|Symbols & Units p71|start=71|end=71
SECTION||Wavelength|start=71|end=71
SECTION||Wave Speed|start=71|end=71
SECTION||Weight|start=71|end=71
SECTION||Young Modulus|start=71|end=71
SECTION||Celsius Temperature|start=71|end=71
SECTION||Solid Angle|start=71|end=71

CHAPTER|Electrical Circuit Symbols|Electrical Circuit Symbols|start=72|end=78
SECTION||Switches|start=72|end=72
SECTION||Conductors|start=73|end=73
SECTION||Power Supply|start=73|end=74
SECTION||Resistors|start=74|end=74
SECTION||Capacitors|start=74|end=74
SECTION||Diodes|start=75|end=75
SECTION||Meters|start=75|end=75
SECTION||Transistors and Amplifiers|start=76|end=76
SECTION||Audio Devices|start=76|end=76
SECTION||Lamps|start=77|end=77
SECTION||Other Devices|start=77|end=77
SECTION||OR Gate|start=78|end=78
SECTION||AND Gate|start=78|end=78
SECTION||NOT Gate|start=78|end=78
SECTION||NAND Gate|start=78|end=78
SECTION||NOR Gate|start=78|end=78

CHAPTER|The Elements|The Elements|start=79|end=81
SECTION||Periodic Table of the Elements|start=79|end=81
SECTION||Lanthanide Series|start=81|end=81
SECTION||Actinide Series|start=81|end=81

CHAPTER|Table of Nuclides|Table of Nuclides|start=82|end=90

CHAPTER|Elements Sorted by Symbol|Elements Sorted by Symbol|start=91|end=94

CHAPTER|BACKCOVER|Back Cover|start=95|end=95
```
